Competition,Bib Number,City,Date,Month,Overall,PB,Pace,Place Overall,Protocol,Registered,Result,Sneakers,"Split, м",Trail,Type,Year
Гатчинский полумарафон,533,Гатчина,"November 10, 2024",Ноябрь,2388,No,4:12,578,,Yes,01:28:36,,21098,No,Бег,2024
Grom Relay Осень (эстафета),238,Москва,"October 19, 2024",Октябрь,222,Yes,3:49,39,https://my.raceresult.com/312757/results,Yes,00:16:02 (00:15:32) (01:26:55),,4200,No,Бег,2024
Mad Fox Ultra Obsession,4191,Переславль-Залесский,"December 15, 2024",Декабрь,939,No,,225,,Yes,05:07:08,,40000,Yes,Бег,2024
Апрель,875,Москва,"April 6, 2025",Апрель,5427,No,3:46,277,,Yes,00:18:51,Nike ZoomX Vaporfly Next% 3,5000,No,Бег,2025
Teriberka Ultra Grand Escape,,Териберка,"May 25, 2025",Май,,No,,,,Yes,03:31:15,Nike Pegasus Trail 4 GRT,15000,Yes,Бег,2025
Crazy Oil 50,,Изборск,"June 14, 2025",Июнь,,Yes,,,,Yes,03:03:49,Salomon SpeedCross 5,50000,Yes,Бег,2025
Белые ночи,,Санкт-Петербург,"July 5, 2025",Июль,,Yes,4:16,,,Yes,03:00:17,Nike ZoomX Vaporfly Next% 3,42195,No,Бег,2025
Московский марафон,,Москва,"September 21, 2025",Сентябрь,,No,4:19,,,Yes,03:02:13,Nike ZoomX Vaporfly Next% 3,42195,No,Бег,2025
Kildin Ultra Grand Escape,,Кильдин,"May 24, 2025",Май,,No,,,,Yes,08:07:00,Salomon SpeedCross 5,55000,Yes,Бег,2025
Московский полумарафон,520,Москва,"April 27, 2025",Апрель,16095,Yes,4:05,895,,Yes,01:26:11,Nike ZoomX Vaporfly Next% 3,21098,No,Бег,2025
Казанский марафон,2197,Казань,"May 4, 2025",Май,,Yes,4:17,346,,Yes,03:00:29,Nike ZoomX Vaporfly Next% 3,42195,No,Бег,2025
Зеленый марафон,1201,Москва,"May 31, 2025",Июнь,,Yes,3:40,13,,Yes,00:15:25,Nike ZoomX Vaporfly Next% 3,4200,No,Бег,2025
Golden Ring Ultra Trail,,Суздаль,"July 27, 2025",Июль,,No,6:07,,,Yes,05:26:16,Salomon SpeedCross 5,55000,Yes,Бег,2025
Скорость (шведская эстафета),90,Москва,"November 24, 2024",Ноябрь,63,No,,15,,Yes,0:05:32.71,,800,No,Бег,2024
Grom10k IzMyLove,1030,Москва,"July 8, 2018",Июль,846,Yes,4:50,274,,Yes,00:48.23,,10000,No,Бег,2018
#бегуирадуюсь,,Москва,"September 2, 2018",Сентябрь,,Yes,4:45,,,Yes,00:47.27,,10000,No,Бег,2018
Соревнования по легкой атлетике ТЭК,64,Москва,"September 22, 2024",Сентябрь,12,No,,6,,Yes,0:10:49,,3000,No,Бег,2024
Соревнования по легкой атлетике ТЭК (эстафета),2,Москва,"September 22, 2024",Сентябрь,7,No,,4,,Yes,0:01:54,,200,No,Бег,2024
Vottovaara Mountain Race,3507,Гимольская,"September 8, 2024",Сентябрь,384,No,,38,,Yes,05:25:44,,55000,Yes,Бег,2024
Часовой бег в день физкультурника,12,Северобайкальск,"August 10, 2024",Август,,No,,2,,Yes,12747,,13700,No,Бег,2024
Битва беговых клубов (шведская эстафета),212,Москва,"July 27, 2024",Июль,55,No,,13,,Yes,12:10 (2:25),,800,No,Бег,2024
Чемпионат ЦА по легкой атлетике,97,Москва,"July 24, 2024",Июль,,No,,,,Yes,0:10:52,,3000,No,Бег,2024
Golden Ring Ultra Trail,5903,Суздаль,"July 21, 2024",Июль,984,No,,238,,Yes,05:49:20,,50000,Yes,Бег,2024
Марафон Белые ночи,273,Санкт-Петербург,"June 29, 2024",Июнь,5598,No,4:39,680,,Yes,03:16:03,,42195,No,Бег,2024
Crazy Owl 50,2444,Воронеж,"June 16, 2024",Июнь,940,No,,118,,Yes,03:12:25,,20000,Yes,Бег,2024
Зеленый марафон,10660,Москва,"June 1, 2024",Июнь,,No,4:27,34,,Yes,01:33:45,,21098,No,Бег,2024
Казанский марафон,8925,Казань,"May 12, 2024",Май,4326,No,4:24,446,,Yes,01:32:40,,21098,No,Бег,2024
Московский полумарафон,615,Москва,"April 29, 2024",Апрель,12819,No,4:36,1935,,Yes,01:36:55,,21098,No,Бег,2024
Апрель,339,Москва,"April 7, 2024",Апрель,6069,Yes,3:41,312,,Yes,00:18:25,,5000,No,Бег,2024
Grom Ski 50K Meshersky (эстафета),73,Москва,"March 3, 2024",Март,140,No,,92,,Yes,0:02:59.56 (?),,12500,No,Лыжи,2024
Скорость (шведская эстафета),125,Москва,"February 18, 2024",Февраль,61,No,,20,,Yes,0:05:35.05 (?),,600,No,Бег,2024
Московский марафон,25050,Москва,"September 23, 2018",Сентябрь,12695,Yes,4:15,465,,Yes,00:42.30,,10000,No,Бег,2018
Love Run,,Москва,"February 10, 2019",Февраль,,No,,5,,Yes,,,10000,No,Бег,2019
Легкоатлетический фестиваль Роснефть,,Москва,"March 17, 2019",Март,28,No,,6,,Yes,01:03.497,,400,No,Бег,2019
Легкоатлетический фестиваль Роснефть,,Москва,"March 17, 2019",Март,31,No,,9,,Yes,07:21.392,,2000,No,Бег,2019
Легкоатлетический фестиваль Роснефть (эстафета),,Москва,"March 17, 2019",Март,16,No,,9,,Yes,0:00:29.613,,200,No,Бег,2019
Весенний гром,,Москва,"April 21, 2019",Апрель,1653,Yes,5:07,726,,Yes,01:48:05,,21098,No,Бег,2019
Московский полумарафон,10297,Москва,"May 19, 2019",Май,8918,No,,2614,,Yes,01:48:17,,21098,No,Бег,2019
Тушинский подъем (эстафета),,Москва,"June 23, 2019",Июнь,68,No,,9,,Yes,1:33:00,,7000,No,Бег,2019
Спартакиада Моспром,,Москва,"July 13, 2019",Июль,100,No,,5,,Yes,00:14.2,,100,No,Бег,2019
Спартакиада Моспром,,Москва,"July 13, 2019",Июль,100,No,,3,,Yes,03:17.4,,1000,No,Бег,2019
Ночной забег,3580,Москва,"July 13, 2019",Июль,6212,Yes,4:12,475,,Yes,00:42.05,,10000,No,Бег,2019
Полумарафон Лужники,5974,Москва,"August 18, 2019",Август,5245,Yes,4:52,1095,,Yes,01:42:30,,21098,No,Бег,2019
Забег на тренировке,,Москва,"August 28, 2019",Август,,Yes,7:03,1,,Yes,00:35:13,,5000,No,Бег,2019
Summer Pioner Cup,,Москва,"September 15, 2019",Сентябрь,,No,,,,Yes,,,,No,Биатлон,2019
Спартакиада Моспром. Финал,,Москва,"September 21, 2019",Сентябрь,,No,,5,,Yes,,,1000,No,Бег,2019
Московский марафон,11202,Москва,"September 22, 2019",Сентябрь,10597,Yes,5:24,3547,,Yes,03:47:56,,42195,No,Бег,2019
Лыжники VS бегуны,,Москва,"October 24, 2019",Октябрь,143,No,,98,,Yes,11:12:00,,3000,No,Бег,2019
Grom Relay Осень (эстафета),43,Москва,"November 2, 2019",Ноябрь,253,Yes,4:21,22,,Yes,00:18:16 (00:17:48) (01:19:47),,4200,No,Бег,2019
Rosneft Indoor Triathlon,,Москва,"December 8, 2019",Декабрь,,No,,,,Yes,,,,No,Триатлон,2019
Скорость (шведская эстафета),138,Москва,"February 22, 2026",Февраль,55,Yes,2:55,29,https://results.runc.run/event/speed_comp_2026_winter/finishers/distance/482/,Yes,2:20,Nike Zoom Rival S9,800,No,Бег,2026
Московский марафон,624,Москва,"October 13, 2024",Октябрь,12904,No,4:25,1017,,Yes,03:06:15,,42195,No,Бег,2024
Забег Моспром,2425,Москва,"September 28, 2024",Сентябрь,3142,Yes,4:00,70,,Yes,00:39:56,,10000,No,Бег,2024
Grom Relay Весна (эстафета),226,Москва,"April 19, 2025",Апрель,,Yes,3:48,,https://my.raceresult.com/336667/,Yes,00:15:59 (00:15:29) (01:28:25),Nike ZoomX Vaporfly Next% 3,4200,No,Бег,2025
Скорость (эстафета 4*200),66,Москва,"February 8, 2025",Февраль,,No,,,,Yes,0:25,Nike Zoom Rival S9,200,No,Бег,2025
Скорость (шведская эстафета),105,Москва,"November 23, 2025",Ноябрь,53,No,3:08,13,,Yes,2:30,Nike Zoom Rival S9,800,No,Бег,2025
Mad Fox Invocation,4057,Переславль-Залесский,"December 21, 2025",Декабрь,960,No,5:47,76,https://my.raceresult.com/374494/,Yes,03:53:27,Salomon SpeedCross 5,40000,Yes,Бег,2025
Зимний фестиваль спорта Роснефти,,Москва,"March 7, 2020",Март,,Yes,4:51,4,,Yes,00:24:16,,5000,No,Бег,2020
Роснефть бежит Июль,,Москва,"July 21, 2020",Июль,,Yes,4:08,,,Yes,00:20:41,,5000,No,Бег,2020
Роснефть бежит Июль,,Москва,"July 24, 2020",Июль,,No,,2,,Yes,00:42:45,,10000,No,Бег,2020
Роснефть бежит Август,,Москва,"August 24, 2020",Август,,No,,1,,Yes,00:20:52,,5000,No,Бег,2020
Роснефть бежит Август,,Москва,"August 26, 2020",Август,,No,,3,,Yes,00:45.52,,10000,No,Бег,2020
Роснефть бежит Август,,Москва,"August 31, 2020",Август,,No,,3,,Yes,01:44:03,,21098,No,Бег,2020
Московский марафон,12698,Москва,"September 20, 2020",Сентябрь,9380,Yes,5:18,3020,,Yes,03:43:50,,42195,No,Бег,2020
Тушинские огни,,Москва,"December 26, 2020",Декабрь,,No,,,,Yes,00:28:34,,5000,No,Лыжи,2020
Гонка памяти А.П. Чичаева,,Москва,"January 5, 2021",Январь,,No,,,,Yes,00:48.34,,10000,No,Лыжи,2021
Мемориал Москаленко,,Москва,"February 6, 2021",Февраль,69,No,,25,,Yes,00:23:02,,5000,No,Лыжи,2021
Апрель,,Москва,"April 4, 2021",Апрель,,Yes,4:04,,,Yes,00:20:22,,5000,No,Бег,2021
Parkrun Бабушкинский,,Москва,"April 10, 2021",Апрель,93,No,,14,,Yes,00:20:52,,5000,No,Бег,2021
Parkrun Сокольники,,Москва,"April 17, 2021",Апрель,72,Yes,4:03,8,,Yes,00:20:17,,5000,No,Бег,2021
Весенний гром (эстафета),,Москва,"April 25, 2021",Апрель,135,No,,37,,Yes,00:45:25,,10000,No,Бег,2021
Parkrun Нижний Новгород,,Нижний Новгород,"May 1, 2021",Май,,No,,,,Yes,00:34:28,,5000,No,Бег,2021
Казанский марафон,,Казань,"May 2, 2021",Май,2822,No,,1845,,Yes,02:09:20,,21098,No,Бег,2021
Полумарафон Сергиевым путём,,Сергиев Посад,"September 4, 2021",Сентябрь,209,Yes,4:27,45,,Yes,01:33:45,,21098,No,Бег,2021
Московский марафон с Adidas Runners 🖤,,Москва,"September 26, 2021",Сентябрь,,Yes,5:12,,,Yes,03:40:00,,42195,No,Бег,2021
Апрель,4410,Москва,"April 3, 2022",Апрель,3640,No,,410,,Yes,00:20:59,,5000,No,Бег,2022
Маркотх,,Новороссийск,"April 17, 2022",Апрель,154,No,,141,,Yes,05:19:56,,23000,Yes,Бег,2022
MSU x RUN,,Москва,"April 24, 2022",Апрель,100,No,,6,,Yes,01:38:08,,21098,No,Бег,2022
Клинский полумарафон По следам истории,,Клин,"May 7, 2022",Май,217,No,,48,,Yes,01:36:42,,21098,No,Бег,2022
Московский полумарафон,13584,Москва,"May 15, 2022",Май,11624,No,,1527,,Yes,01:36:42,,21098,No,Бег,2022
Белые ночи,,Санкт-Петербург,"June 11, 2022",Июнь,2985,Yes,5:03,623,,Yes,03:32:46,,42195,No,Бег,2022
5 верст в Сосновке,,Санкт-Петербург,"August 6, 2022",Август,69,Yes,3:58,3,,Yes,00:19:48,,5000,No,Бег,2022
Северная столица,131,Санкт-Петербург,"August 7, 2022",Август,4102,Yes,4:19,387,,Yes,01:31:05,,21098,No,Бег,2022
Лужники,1250,Москва,"August 21, 2022",Август,5755,Yes,4:12,353,,Yes,01:28:37,,21098,No,Бег,2022
Московский марафон,12372,Москва,"September 18, 2022",Сентябрь,11055,No,5:03,2442,,Yes,03:33:18,,42195,No,Бег,2022
Grom Relay Осень (эстафета),16,Москва,"October 22, 2022",Октябрь,,Yes,4:00,,https://results.zone/grom-relay-osen-2022?ysclid=mplld2m559917420960,Yes,00:16:46 (00:16:15) (01:29:29),,4200,No,Бег,2022
Зимний забег,,Москва,"February 4, 2023",Февраль,922,No,,128,,Yes,00:21:50,,5000,No,Бег,2023
Скорость (эстафета),83,Москва,"February 12, 2023",Февраль,39,No,,13,,Yes,,,,No,Бег,2023
Лыжная гонка ТЭК,,Москва,"February 19, 2023",Февраль,,No,,,,Yes,00:44:08,,10000,No,Лыжи,2023
Гонка памяти сотрудников спецподразделения Альфа,,Москва,"February 23, 2023",Февраль,,No,,,,Yes,,,10000,No,Лыжи,2023
Dagestan Wild Trail,1299,Дагестан,"March 19, 2023",Март,375,No,,113,,Yes,02:30:32,,15000,Yes,Бег,2023
Апрель,288,Москва,"April 2, 2023",Апрель,5214,Yes,3:43,257,,Yes,00:18:35,,5000,No,Бег,2023
Чемпионат ЦА по легкой атлетике,,Москва,"April 16, 2023",Апрель,46,No,,5,,Yes,0:10:25,,3000,No,Бег,2023
5 верст Филатов Луг,,Москва,"April 29, 2023",Апрель,38,No,,5,,Yes,00:19:14,,5000,No,Бег,2023
Тутаевский полумарафон,5260,Тутаев,"May 1, 2023",Май,329,No,,17,,Yes,01:31:05,,21098,No,Бег,2023
Московский полумарафон,1103,Москва,"May 14, 2023",Май,13449,Yes,4:07,613,,Yes,01:26:48,,21098,No,Бег,2023
Зеленый марафон,10003,Москва,"May 20, 2023",Май,,No,,,,Yes,01:29:58,,21098,No,Бег,2023
Ставропольский полумарафон,2194,Ставрополь,"June 4, 2023",Июнь,196,No,,3,,Yes,01:30:00,,21098,No,Бег,2023
5 верст Московский Парк Победы,,Санкт-Петербург,"June 10, 2023",Июнь,158,No,,6,,Yes,00:19:11,,5000,No,Бег,2023
Белые ночи,352,Санкт-Петербург,"June 10, 2023",Июнь,3325,Yes,4:24,224,,Yes,03:05:37,,42195,No,Бег,2023
Die Hard,,Москва,"June 18, 2023",Июнь,,No,,,,No,,,21098,No,Бег,2023
ANTA. КОРОЛЬ ИНТЕРВАЛОВ,,Москва,"June 21, 2023",Июнь,,No,,,,Yes,,,,No,Бег,2023
Сбербанкиада,,Казань,"July 11, 2023",Июль,15,No,,12,,Yes,00:27.12,,200,No,Бег,2023
Сбербанкиада (эстафета),,Казань,"July 12, 2023",Июль,15,No,,11,,Yes,00:53.19,,100,No,Бег,2023
Сбербанкиада (эстафета),,Казань,"July 13, 2023",Июль,15,No,,6,,Yes,,,,No,Бег,2023
Golden Ring Ultra Trail,,Суздаль,"July 23, 2023",Июль,,No,,,,Yes,03:23.48,,30000,Yes,Бег,2023
5 верст на ВДНХ,,Москва,"August 19, 2023",Август,76,No,,6,,Yes,00:19:18,,5000,No,Бег,2023
Лужники,152,Москва,"August 20, 2023",Август,6371,No,,338,,Yes,01:28:36,,21098,No,Бег,2023
5 верст в Филевском парке,,Москва,"September 2, 2023",Сентябрь,36,No,,3,,Yes,00:20:10,,5000,No,Бег,2023
5 верст в Парке Горького,,Москва,"September 16, 2023",Сентябрь,403,No,4:26,28,,Yes,00:22:10,,5000,No,Бег,2023
Московский марафон,729,Москва,"September 17, 2023",Сентябрь,12382,No,4:31,893,,Yes,03:10:25,,42195,No,Бег,2023
Grom Relay Осень (эстафета),,Москва,"October 21, 2023",Октябрь,,No,,,,Yes,0:16:40,,4250,No,Бег,2023
5 верст в Гатчине,,Гатчина,"November 11, 2023",Ноябрь,122,No,4:15,7,,Yes,00:21:14,,5000,No,Бег,2023
Гатчинский полумарафон,1826,Гатчина,"November 12, 2023",Ноябрь,,No,,,,Yes,01:30:12,,21098,No,Бег,2023
Скорость (эстафета),,Москва,"November 26, 2023",Ноябрь,,No,,,,Yes,,,,No,Бег,2023
Апрель,4132,Москва,"April 5, 2026",Апрель,5757,Yes,3:34,186,https://results.runc.run/event/april_run_2026/overview/distance/483/,Yes,00:17:51,Nike ZoomX Vaporfly Next% 3,5000,No,Бег,2026
Grom Relay Весна (эстафета),77,Москва,"April 18, 2026",Апрель,206,No,3:49,45,https://my.raceresult.com/393602/,Yes,00:15:18 (00:14:51) (01:28:36),Nike ZoomX Vaporfly Next% 3,4200,No,Бег,2026
Московский полумарафон,1184,Москва,"April 26, 2026",Апрель,15249,Yes,3:57,509,https://results.runc.run/event/moscow_half_marathon_2026/finishers/distance/493/,Yes,01:23:23,Nike ZoomX Vaporfly Next% 3,21098,No,Бег,2026
Скорость (эстафета 4*200),38,Москва,"November 22, 2025",Ноябрь,65,Yes,2:20,22,,Yes,0:28,Nike Zoom Rival S9,200,No,Бег,2025
Полумарафон Русский север,,Кириллов,"October 25, 2025",Октябрь,,No,4:42,,,Yes,01:39:15,Nike ZoomX Vaporfly Next% 3,21098,No,Бег,2025
Grom Relay Осень (эстафета),,Москва,"October 18, 2025",Октябрь,,Yes,3:39,,https://my.raceresult.com/362999/,Yes,00:15:18 (00:14:51) (01:28:54),Nike ZoomX Vaporfly Next% 3,4200,No,Бег,2025
Соревнования по легкой атлетике среди организаций ТЭК,,Москва,"October 4, 2025",Октябрь,,No,3:25,,,Yes,10:16,Nike ZoomX Vaporfly Next% 3,3000,No,Бег,2025
Часовой бег,,Северобайкальск,"August 16, 2025",Август,,No,4:07,,,Yes,01:00:00,Nike Pegasus Trail 4 GRT,,No,Бег,2025
Чемпионат ЦА по бегу,,Москва,"July 21, 2025",Июль,,Yes,3:24,,,Yes,10:13,Nike ZoomX Vaporfly Next% 3,3000,No,Бег,2025
Медвежья гонка,,Москва,"July 13, 2025",Июль,,No,,,,Yes,,Nike Pegasus Trail 4 GRT,,No,OCR,2025
Спартакиада Банка России,,Москва,"December 14, 2025",Декабрь,,No,3:02,,,Yes,2:26,Nike Zoom Rival S9,800,No,Бег,2025
BIG RUN FEST,,Москва,"July 19, 2025",Июль,,Yes,3:47,,,Yes,00:37:48,Nike ZoomX Vaporfly Next% 3,10000,No,Бег,2025
По Садовому кольцу,2873,Москва,"May 16, 2026",Май,8324,Yes,3:52,151,https://results.runc.run/event/garden_ring_relay_2026/overview/distance/499/,Yes,00:58:01,Nike ZoomX Vaporfly Next% 3,15000,No,Бег,2026
,,,,,,No,,,,No,,,,No,,2022
Зеленый марафон,2420,Москва,"May 30, 2026",Май,4250,Yes,3:30,15,https://reg.greenmarathon.sberbank.ru/info/marathon/msk/,Yes,00:14:41,Adidas Adizero Adios Pro 4,4200,No,Бег,2026
Марафон Белые ночи,,Санкт-Петербург,"July 4, 2026",Июль,,No,,,,Yes,,,42195,No,Бег,2026
,,,,,,No,,,,No,,,,No,,2022